study_hours,sleep_hours,break_frequency,concentration_level,burnout_risk
6.6,7.7,33,5,3.83
9.1,6.3,43,5,30.61
9.2,6.3,46,3,35.82
9.0,7.7,44,1,34.64
5.7,6.5,23,5,20.96
9.7,12.9,25,5,4.69
7.3,6.8,37,3,31.47
6.2,13.4,34,3,1.26
9.7,8.0,18,4,39.84
8.7,6.2,35,1,62.83
9.5,6.9,30,2,52.41
6.3,14.4,59,2,0.0
3.6,5.1,22,2,28.85
6.3,3.5,8,2,61.27
15.8,7.1,40,2,84.14
2.0,4.3,17,1,44.74
19.4,10.1,57,3,80.62
19.7,7.8,41,3,100.0
6.8,7.5,14,2,43.18
6.3,7.8,41,1,30.14
7.2,7.0,34,4,7.97
9.1,7.7,45,4,32.56
9.4,4.8,8,4,54.09
1.2,14.7,14,1,0.0
12.1,9.4,46,5,27.65
15.4,4.1,48,4,75.2
7.6,7.6,44,3,13.48
8.9,4.5,44,2,52.38
7.6,13.5,32,5,0.0
6.7,7.3,6,2,37.11
8.6,6.3,31,3,40.59
7.7,6.1,33,2,46.61
6.2,6.7,10,1,49.86
6.4,14.0,27,1,10.29
3.9,7.1,16,3,9.17
7.0,4.2,45,4,25.58
8.6,7.8,12,4,38.86
6.2,14.6,14,2,2.6
6.2,9.2,21,3,8.85
7.8,13.4,5,3,18.92
9.2,5.7,7,1,70.64
19.7,7.1,48,4,95.52
7.7,14.5,50,4,4.54
8.7,5.9,32,5,29.11
7.7,7.5,46,1,37.49
10.0,14.7,40,4,8.17
9.9,13.0,52,4,6.55
9.7,7.0,30,2,49.78
10.7,6.1,29,4,51.52
7.3,7.2,38,2,32.76
17.6,6.6,7,4,92.69
8.4,14.3,32,2,16.37
8.2,6.1,59,1,42.8
18.9,6.6,33,2,95.58
14.7,7.1,17,4,65.1
10.1,6.8,46,1,52.47
18.3,9.2,43,3,76.31
18.3,7.3,57,4,68.13
6.0,7.3,24,4,19.42
7.2,7.9,59,5,14.97
10.0,6.4,26,5,39.89
9.7,7.0,17,1,62.36
8.1,12.0,12,3,27.23
10.0,7.8,46,2,45.38
9.1,7.3,23,5,34.24
7.4,7.9,9,3,33.6
7.4,9.3,9,3,36.9
6.9,7.5,38,1,41.75
12.9,6.4,53,2,68.0
7.5,11.6,38,1,32.31
14.3,6.5,15,3,74.54
7.4,14.8,58,2,0.0
8.1,7.0,42,4,27.74
1.6,7.0,11,5,0.0
6.1,6.0,20,2,44.15
15.9,3.2,22,5,79.04
10.0,15.0,10,4,21.38
9.0,7.7,54,1,55.5
12.5,8.6,57,1,60.6
9.8,6.1,55,3,49.27
9.1,7.4,5,1,59.15
8.2,9.3,27,2,35.38
17.4,10.2,54,5,53.47
5.6,6.6,42,2,28.25
9.8,12.0,12,5,11.38
9.6,7.8,16,4,34.13
8.5,3.3,9,5,41.52
19.7,13.6,59,3,64.15
8.4,6.5,47,1,47.92
7.6,3.8,31,2,54.65
9.9,14.3,49,2,22.85
7.7,6.5,54,1,39.46
9.7,7.4,25,4,32.5
8.0,5.0,51,5,16.74
6.4,12.8,47,2,4.37
6.1,8.0,41,3,13.13
2.8,5.5,17,2,18.14
2.7,6.1,23,1,23.55
8.9,7.0,17,3,44.5
7.9,3.7,26,4,43.31
6.6,12.8,50,2,13.78
5.4,10.3,36,5,0.0
19.5,6.5,7,3,92.58
6.8,6.5,13,2,44.94
6.2,14.9,42,5,0.0
9.0,7.7,52,3,37.27
7.2,7.7,27,5,16.83
9.6,14.6,53,3,4.8
9.7,3.9,30,5,32.36
6.0,14.4,11,5,0.0
9.4,3.5,14,2,67.82
18.0,6.2,9,3,96.45
10.1,7.1,58,4,33.18
2.6,7.4,20,5,0.0
3.2,4.9,13,2,35.06
6.7,7.0,54,2,26.02
3.0,6.7,56,3,7.4
16.5,12.7,29,2,71.36
7.4,11.1,57,1,20.98
5.2,9.1,43,5,0.0
8.3,7.8,42,3,42.96
11.7,6.1,19,1,81.73
18.1,8.7,36,5,78.92
7.0,6.5,56,3,23.02
4.2,7.4,39,3,14.62
1.1,7.2,28,4,0.0
2.3,11.6,40,2,0.0
8.0,5.1,44,3,35.54
8.5,6.9,45,2,52.31
8.3,2.5,54,1,64.86
6.3,7.6,30,2,29.72
8.7,7.7,41,4,23.9
6.4,6.7,45,1,40.88
8.7,14.6,27,4,0.0
7.3,5.1,23,4,34.07
13.1,7.6,50,1,61.83
6.4,7.9,15,4,20.5
8.8,2.9,55,5,34.71
6.3,14.4,51,2,0.0
8.4,8.1,22,1,45.2
13.1,7.2,32,4,57.71
16.7,5.1,19,1,100.0
18.9,6.7,46,4,90.47
8.3,7.5,44,2,44.23
6.6,6.7,36,3,34.88
7.5,7.6,19,2,39.75
